id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
182069,39260,Manhattan,East Harlem,40.78923,-73.946,Entire home/apt,100,30,121,1,310,3
245574,1288460,Brooklyn,Bedford-Stuyvesant,40.68921,-73.95439,Entire home/apt,134,3,245,1,276,29
166983,795640,Brooklyn,Carroll Gardens,40.68194,-73.99708,Entire home/apt,350,30,6,1,0,0
246351,1292250,Manhattan,Gramercy,40.73693,-73.98129,Entire home/apt,139,1,5,1,0,0
182177,873273,Bronx,Allerton,40.86502,-73.85496,Entire home/apt,173,2,328,2,320,16
168123,720558,Brooklyn,Windsor Terrace,40.65891,-73.98556,Entire home/apt,100,30,118,1,72,8
169306,806214,Bronx,University Heights,40.85981,-73.9063,Private room,40,7,157,1,257,15
187986,904833,Manhattan,Chelsea,40.73862,-73.99758,Entire home/apt,250,30,2,1,0,0
247562,1234135,Queens,Richmond Hill,40.7012,-73.83151,Private room,66,3,42,3,348,16
248865,417504,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,339,2,38,30,102,0
169464,806774,Brooklyn,Williamsburg,40.70829,-73.96564,Entire home/apt,85,30,98,2,5,0
280315,1151818,Brooklyn,Crown Heights,40.67265,-73.94486,Entire home/apt,250,30,26,1,0,0
248966,1304390,Brooklyn,Bushwick,40.69913,-73.93107,Private room,82,30,43,2,341,0
249414,1306587,Manhattan,West Village,40.73273,-74.00041,Entire home/apt,246,4,6,1,0,0
188674,909234,Manhattan,East Village,40.73345,-73.98809,Entire home/apt,165,30,63,1,0,0
188803,67778,Brooklyn,Fort Greene,40.68915,-73.97686,Private room,90,2,20,3,0,7
281521,70614,Manhattan,West Village,40.73853,-74.00292,Entire home/apt,200,30,1,1,0,0
